uniprot_id	protein	gene	refseq	24h_average_tpm.txt
O34857	Repressor Rok	rok	NP_389307.1;WP_003232378.1;	283.877
P26497	Stage 0 sporulation protein J	spo0J	NP_391976.1;WP_003226832.1;	210.381
P04831	Small, acid-soluble spore protein A (SASP)	sspA	NP_390835.1;WP_003223491.1;	723.686
P06533	HTH-type transcriptional regulator SinR	sinR	NP_390341.1;WP_003226345.1;	591.219
P39776	Tyrosine recombinase XerC	xerC	NP_389496.1;WP_003231988.1;	211.089
P40762	HTH-type transcriptional regulator PchR (Pulcherriminic acid biosynthetis regulator)	pchR	NP_391388.1;WP_003228073.1;	976.059
O31771	Uncharacterized membrane protein YmfM	ymfM	NP_389573.3;WP_010886511.1;	299.402
O32067	Uncharacterized HTH-type transcriptional regulator YtzE	ytzE	NP_390880.1;WP_003152337.1;	3890.76
P24281	Nucleoid-associated protein YaaK	yaaK	NP_387901.1;WP_003225427.1;	366.858
Q7BVT7	Uncharacterized protein YerC	yerC	NP_388540.1;WP_003219429.1;	433.344
P39667	Transcription repressor NadR (ORF1)	nadR	NP_390667.2;WP_004398582.1;	423.29
P94433	HTH-type transcriptional repressor YcnK	ycnK	NP_388278.1;WP_003246724.1;	832.041
O34766	SPbeta prophage-derived uncharacterized HTH-type transcriptional regulator YopS	yopS	NP_389960.1;WP_004399410.1;	1509.92
P06534	Stage 0 sporulation protein A (Stage 0 sporulation protein C) (Stage 0 sporulation protein G)	spo0A	NP_390302.1;WP_003226427.1;	507.614
P51777	Cold shock protein CspD	cspD	NP_390076.1;WP_003230776.1;	24694.5
P39758	Putative transition state regulator Abh	abh	NP_389331.1;WP_003244728.1;	419.97
P32081	Cold shock protein CspB (Major cold shock protein)	cspB	NP_388791.1;WP_003224086.1;	12324.2
O07586	HTH-type transcriptional regulator CueR	cueR	NP_388837.1;WP_010886460.1;	470.12
P08874	Transition state regulatory protein AbrB	abrB	NP_387918.1;WP_003226760.1;	678.69
P39158	Cold shock protein CspC	cspC	NP_388393.1;WP_003234247.1;	9849.29
P13800	Transcriptional regulatory protein DegU (Protease production enhancer protein)	degU	NP_391429.1;WP_003219701.1;	332.494
P96622	Endoribonuclease EndoA (EC 3.1.27.-) (Toxin EndoA) (mRNA interferase EndoA) (mRNA interferase MazF-bs) (MazF-bs)	ndoA	NP_388347.1;WP_003156187.1;	1344.94
P31080	LexA repressor (EC 3.4.21.88) (SOS regulatory protein DinR)	lexA	NP_389668.1;WP_003238209.1;	441.334
P11470	Spore germination protein GerE	gerE	NP_390719.2;WP_003184172.1;	550.813
P54512	HTH-type transcriptional regulator MntR (Manganese transport regulator) (Manganese(II) metalloregulatory protein MntR)	mntR	NP_390332.2;WP_003236923.1;	457.891
P08821	DNA-binding protein HU 1 (DNA-binding protein II) (HB)	hupA	NP_390160.1;WP_003153447.1;	9011.57
P37582	HTH-type transcriptional regulator GlnR	glnR	NP_389627.1;WP_003238341.1;	241.444
O05236	Uncharacterized HTH-type transcriptional regulator YugG	yugG	NP_391019.1;WP_009968070.1;	210.391
O31509	Probable transcriptional regulatory protein YeeI	yeeI	NP_388566.3;WP_003242611.1;	218.53
O31761	Uncharacterized HTH-type transcriptional regulator YmfC	ymfC	NP_389563.1;WP_003245732.1;	312.634
Q7WY72	Extracellular matrix regulatory protein A (Regulator of extracellular matrix A)	remA	NP_570902.1;WP_003154355.1;	756.933
O07573	HTH-type transcriptional regulator NsrR	nsrR	NP_388819.1;WP_003245378.1;	470.087
P37524	Nucleoid occlusion protein (Noc)	noc	NP_391979.1;WP_003226829.1;	431.957
O34692	Uncharacterized HTH-type transcriptional regulator YvnA	yvnA	NP_391385.1;WP_003228083.1;	288.683
O31417	Uncharacterized HTH-type transcriptional regulator YazB	yazB	NP_387961.1;WP_003226678.1;	376.478
